Avancement;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
49;94300;182600;641900;885800;4521100;7482100;29114800;41941400
15;97500;230800;651000;2467800;5551900;22717500;66182800;338708400
39;114600;465200;1733000;8807400;40646600;181626900;845845600;3290112900
26;110500;481200;3791300;10256400;63672800;276673500;1081823700;4869308400
40;74800;231600;933900;2782200;12820800;39085100;183996300;502516400
49;119100;299200;951000;1393600;5555600;8209000;32911400;48337400
44;69500;210000;839300;5778100;11599800;83356700;126405800;828433500
19;96500;245300;1401700;7156900;49589700;193995000;1663748500;5354817500
17;124100;709000;4309900;23332500;176127000;618908400;3460322300;15606716900
36;107900;818800;2996800;22444600;54816900;481595000;1178773500;10303682900
10;81100;218700;1597500;4542100;28124600;129866700;667872800;2655057600
31;83300;407700;2141200;17016500;60362200;237861800;970489800;5041705800
29;102800;398200;1932100;8409500;35330600;161216600;796466700;3226251000
24;147800;446400;3957400;10847400;98396100;244597600;1360328100;3441878700
30;135600;370000;3697200;7961400;88558900;184054200;1859795300;2264696300
20;134100;721600;4336300;39726800;145146700;1227048000;4572664000;37600959400
46;73300;244200;518300;2159200;5067000;19406300;37295200;170501200
47;85500;118600;825200;1255300;8741100;10200600;53897600;68913600
43;85300;430300;1945000;7844900;37373500;97768500;504008500;1355418500
12;100800;283800;1963200;6470800;48420900;160924700;1076137700;3351970500
41;118100;192000;1949300;1982500;23490600;24373600;362758200;345266600
41;53600;203800;539600;2885000;7423700;31507200;78000700;308573500
30;100900;640300;2224400;9674800;37504200;159402200;511767100;1972910400
21;124700;488500;3574900;13867100;82890900;311322600;1657984200;5595523400
39;79100;396400;1421200;5301500;25073200;99753300;347930900;1159874500
43;73500;210800;1113600;2556300;12848000;38524500;143347500;424733700
42;108200;454600;2351800;8428200;35694400;179172600;463976400;2145534700
30;96300;461800;3303100;18805400;154998800;709151300;5523596000;12768483100
34;116700;469100;1104600;2352800;11249200;28470400;131741600;386186600
43;79900;246900;1438100;3975500;37031900;106687300;614017700;1778481600
25;101100;256600;1598700;4779800;35156100;43321600;786498200;594828600
48;52700;148000;343200;1134500;1801100;7047700;13998100;37833600
12;64800;294900;1501200;4332700;15936700;92663900;158987300;1711089100
18;88400;212200;1217200;2659600;17150600;31923500;412630100;646946600
36;133000;400600;2718000;5274200;48962200;100035200;802204500;1292554900
22;82400;601200;2012500;15300500;51582700;340507800;873274900;6720508700
42;89000;339500;2367800;8729500;58486500;139256200;1013444200;2241847000
14;68600;269600;1080800;6237900;16315600;125968600;294615600;2157197400
49;76800;195000;813300;1525400;3486200;6918700;23586100;24915800
11;110900;392800;2781500;7183300;56088000;125510800;1269288800;7794118800
24;108900;521800;3579000;12015800;118348300;241710700;2169689100;4116217200
19;74400;541300;2528100;21871700;72275300;625467200;2330595900;22243982100
36;183100;410200;4329900;8789200;82536400;113388800;1508042600;2229544500
15;80200;367100;2541100;13660700;63608100;222618400;1472083900;4839717600
47;150700;385200;2299000;3311100;13639700;24188100;104700500;180363300
30;128400;230100;1436100;2701300;18607300;45208000;188802900;551305400
49;60400;152200;556800;1645500;6544300;15007900;39334100;72743900
37;116100;359000;3000000;9131700;66851100;182614100;1096200100;3419138000
49;88300;659000;1243900;1623100;8373200;6467100;24508900;32170400
30;119300;503700;1866300;10787500;26843700;152352000;319754800;1555996400
37;102100;842200;5720000;24618100;95928300;379143200;1281414300;9179631500
36;45800;270700;552500;3849500;6816000;54981400;121305900;711451100
21;105800;224700;1140100;4404900;20684000;79268600;401195000;1520636800
23;134300;651000;2823100;10995000;68298400;235261000;1395336500;4751240300
28;169200;475700;5659400;13547000;182686100;564851000;4690593300;17220585300
40;102200;671800;2917900;19076600;62969100;285469200;1018070900;3689251800
14;75500;232800;895700;4238700;13604500;73663900;319649000;1362354500
12;74800;245900;1393600;5225300;25560300;105581900;491357400;1783045600
28;101200;609000;4662500;22054300;149264200;508257000;3440066200;9772233900
21;85700;235400;2036700;6136300;54764100;129121300;853261800;2987719400
14;58200;282300;1374000;6975900;24334700;131096400;354819700;1894339800
48;87000;260000;569800;1561800;3707200;12626000;25161400;73609400
17;98700;357800;1494300;6691400;23170600;95613900;345910000;1373389100
23;57700;208300;816400;3328600;15014900;96368300;235515900;2174172400
47;53700;161300;513200;2247800;5818600;23842200;54600100;147472400
17;115900;359500;2051300;4679600;48150500;111252900;1003927700;2863864100
10;79400;371400;2042700;8278400;44081200;126682800;672885300;1901660500
16;73100;366700;2663200;7976300;65910300;180667200;1576059900;4977851100
42;112400;159000;907200;1466000;10947100;15081000;103435000;149067900
10;61900;131300;740900;2205600;15021100;59071000;232801800;1094530900
17;101000;372400;1821500;7192600;37408100;171918300;694019800;4078491700
39;52700;260800;391800;3307000;1914000;27875800;19248600;241276100
49;61600;110500;537200;1135400;4228000;6030500;21461600;24197200
44;36400;176300;229400;1607000;1422400;17706000;24270700;55647400
48;42200;100800;179800;729600;2588200;9757900;24097100;72196600
17;74300;473700;1400000;8879600;34871900;226798200;911662600;4510827400
35;8173500;3196700;27355700;90223500;35217800;203798700;709377100;2526112400
21;363200;587800;2804000;4589400;37915000;86252000;763256600;1807285100
28;90700;326400;2378000;9266700;61329800;232493800;1257743600;4199549600
33;67000;223000;1715500;5185600;44856500;128902600;960562800;2888782600
39;93800;722600;4309000;21056100;93046900;337525300;1243457300;4423482400
36;95100;457400;1600400;5147200;26127300;75068000;313036700;1136503000
34;72900;170700;713400;2513600;8949900;36864500;130112800;723780700
20;119900;433600;2342300;13975400;60682500;295559000;928494100;5676582800
16;81200;157000;1003400;1282000;6817400;9697100;66005600;144926700
43;94100;195800;882400;1513600;11563700;12719900;111449600;91121900
14;81100;323100;2311900;10953200;70139000;261303100;1643960300;6209565200
17;101500;539400;3763600;22462800;105953600;683037400;2367773500;20116294700
35;79300;309300;1995900;4925000;29969700;83912700;485416600;1397929800
19;138400;443700;4239300;9631800;87710800;210099800;1854630700;4473647500
16;95400;294100;2696700;5077200;52058500;126522100;890256400;2330457900
48;71700;201400;274300;1839500;1228800;8324900;16732300;39874500
32;89900;351400;1654300;8665700;26218500;223543600;384796200;3672865400
16;132200;562700;3541300;15942400;110447200;398179800;2916701600;12159145100
34;118000;383200;2183700;3047900;29137800;73582800;295172800;1301424300
39;86400;236800;1430300;5660300;20335600;73983000;228815300;771703700
46;41100;73500;158500;469000;1400900;5413400;11877800;44478700
49;68700;154600;882600;1755700;8910100;14541800;58002600;89631800
48;61700;166300;663000;2166000;4787900;18878800;37650200;87996300
13;70600;262900;1369500;4332800;18491400;74911500;294516800;1163324900
13;66900;480500;2141500;11619500;44346200;243873100;1426896500;5294461100
34;69400;488100;2561900;12967800;44767300;229789900;567170400;3721332700
20;127200;531300;2562200;12352400;52508000;251094200;895819400;3605292900
10;46100;224200;833800;4937600;11072900;61001000;100772000;1080409300
